,0
0,2744.4122965335846
1,3418.9408056735992
2,3245.100915670395
3,3738.135841548443
4,3852.3144773840904
5,4007.2572024464607
6,4361.361640870571
7,4248.250894546509
8,4183.208025276661
9,4494.382141113281
10,3725.987755358219
11,3453.8578040599823
12,3787.101021230221
13,4432.837048351765
14,5150.135515630245
15,5194.199960589409
16,5158.27214795351
17,5167.897280395031
18,4625.4502982497215
19,3896.215718328953
20,3788.1222708821297
21,4312.078429877758
22,5620.159385383129
23,6358.175959825516
24,6261.401587486267
25,5940.371908485889
26,5755.18383783102
27,5495.820217072964
28,5506.3117008805275
29,5028.127630412579
30,4393.812902748585
31,3708.549559056759
32,2768.065023422241
33,2672.0669882297516
34,3741.0852270126343
35,4433.809315502644
36,4230.971926867962
37,3622.8103052973747
38,3664.1981050372124
39,3718.6709055304527
40,4240.504489481449
41,4257.018833220005
42,4304.686615526676
43,4474.818743169308
44,4674.732515394688
45,4515.5171674489975
46,4433.848927438259
47,4229.060047566891
48,3932.239721238613
49,3713.9062569737434
50,4052.3026462197304
51,5088.718984186649
52,6204.265558719635
53,6385.302610874176
54,6242.490650653839
55,5629.753424584866
56,5156.30283844471
57,4642.296232223511
58,3864.738001406193
59,3135.4283859729767
60,4191.765623152256
61,3664.4779441952705
62,4216.199230492115
63,4912.333281934261
64,4694.28959530592
65,3993.2709236741066
66,3517.6287610530853
67,2955.5936057567596
68,4268.083128333092
69,4791.655733048916
70,4515.027271449566
71,4693.056798040867
72,5107.505335092545
73,5240.517316639423
74,5481.289735615253
75,5654.942072331905
76,5667.699245274067
77,4917.68018335104
78,4417.704934000969
79,4928.207658648491
80,5171.560035645962
81,4621.619156777859
82,4008.43278247118
83,4405.896814763546
84,2941.557918548584
85,5764.481852352619
86,4891.387228667736
87,5874.009280264378
88,-152.0422511100769
89,4709.208529293537
90,4777.632823884487
91,4264.1007090210915
92,4171.9309757351875
93,4559.42060905695
94,4736.01743298769
95,5507.551029145718
96,4911.540901243687
97,3547.754560947418
98,4825.030563533306
99,4684.6482773423195
100,4386.7494841217995
101,4211.429044783115
102,4455.776618421078
103,4318.972894370556
104,4239.407281458378
105,4666.048982799053
106,5065.690251767635
107,5604.162978351116
108,5334.940528929234
109,6464.962639331818
110,128.46278500556946
111,6518.699424505234
112,4373.2986053824425
113,3700.422581255436
114,4475.084526479244
115,4731.909717857838
116,4757.83835631609
117,5615.4469848275185
118,5130.323939681053
119,5152.696803510189
120,5593.6459384560585
121,4710.809760153294
122,4869.839045584202
123,4850.711662888527
124,4866.25948959589
125,4972.530078113079
126,4941.341996848583
127,4503.088603198528
128,4479.35551661253
129,4457.301890909672
130,4318.206069767475
131,4251.06582659483
132,4184.594159066677
133,4402.600789368153
134,4464.250023186207
135,4517.998805522919
136,4308.236072123051
137,4051.594316661358
138,4931.227323353291
139,3804.139051795006
140,4497.355449914932
141,3844.9915224909782
142,4582.907079398632
143,3934.7828359007835
144,3775.580762922764
145,3720.9062113165855
146,3974.338122189045
